Roll_Number,Student_Name,Attendance_Percentage,Quiz_Marks,Assignment_Marks,Midterm_Marks,Final_Marks,Result,Risk_Level
STU51393,Dua Butt,94.0,17.0,16.0,21.0,25.0,Pass,Low Risk
STU24569,Sami Abbasi,72.0,20.0,16.0,24.0,30.0,Pass,Low Risk
STU87575,Nimra Saeed,67.0,12.0,11.0,19.0,23.0,Pass,Medium Risk
STU31965,Asif Hashmi,53.0,9.0,8.0,12.0,14.0,Fail,High Risk
STU85086,Gulnaz Cheema,58.0,10.0,16.0,18.0,25.0,Pass,Medium Risk
STU16196,Javeria Jafri,100.0,20.0,18.0,30.0,30.0,Pass,Low Risk
STU42474,Shahzad Rashid,80.0,16.0,15.0,24.0,29.0,Pass,Low Risk
STU96792,Osha Malik,70.0,9.0,10.0,23.0,13.0,Pass,Medium Risk
STU45090,Saad Soomro,77.0,18.0,20.0,30.0,30.0,Pass,Low Risk
STU24625,Asif Sabir,93.0,12.0,12.0,14.0,19.0,Pass,Medium Risk
STU42751,Warda Waheed,50.0,20.0,16.0,25.0,24.0,Pass,Low Risk
STU73096,Kiran Orakzai,81.0,18.0,18.0,23.0,25.0,Pass,Low Risk
STU43323,Fatima Durrani,64.0,14.0,15.0,21.0,20.0,Pass,Medium Risk
STU38323,Amina Sheikh,100.0,19.0,18.0,22.0,27.0,Pass,Low Risk
STU66004,Rizwan Hameed,89.0,14.0,16.0,22.0,20.0,Pass,Low Risk
STU91102,Asad Awan,83.0,18.0,20.0,30.0,29.0,Pass,Low Risk
STU42426,Mishal Sabir,88.0,20.0,18.0,22.0,27.0,Pass,Low Risk
STU19327,Aamir Effendi,68.0,13.0,15.0,15.0,17.0,Pass,Medium Risk
STU44832,Zaid Gill,86.0,20.0,20.0,26.0,27.0,Pass,Low Risk
STU81328,Bushra Awan,91.0,12.0,14.0,22.0,21.0,Pass,Low Risk
STU38719,Qasim Hashmi,60.0,13.0,16.0,16.0,15.0,Pass,Medium Risk
STU02294,Bisma Pasha,81.0,17.0,14.0,20.0,18.0,Pass,Low Risk
STU55758,Iram Iqbal,83.0,16.0,18.0,21.0,27.0,Pass,Low Risk
STU44782,Hina Rashid,66.0,8.0,10.0,20.0,15.0,Pass,Medium Risk
STU97053,Anum Iqbal,90.0,19.0,17.0,21.0,19.0,Pass,Low Risk
STU10071,Moiz Baig,65.0,13.0,11.0,18.0,15.0,Pass,Medium Risk
STU09072,Sohail Lodhi,53.0,17.0,16.0,24.0,21.0,Pass,Low Risk
STU32867,Qasim Gill,100.0,18.0,20.0,30.0,27.0,Pass,Low Risk
STU71595,Unknown Student,72.0,14.0,13.0,13.0,14.0,Pass,Medium Risk
STU62637,Hamid Rind,75.0,18.0,16.0,29.0,27.0,Pass,Low Risk
STU90333,Ahmed Pasha,63.0,13.0,16.0,22.0,17.0,Fail,Medium Risk
STU97129,Unknown Student,86.0,8.0,9.0,12.0,10.0,Fail,Medium Risk
STU99719,Noor Marwat,89.0,20.0,20.0,25.0,25.0,Pass,Low Risk
STU-06719,Tahira Nawaz,57.0,8.0,9.0,22.0,17.0,Pass,Medium Risk
STU36235,Dua Sheikh,54.0,11.0,12.0,16.0,22.0,Fail,Medium Risk
STU74225,Ayesha Javed,89.0,20.0,15.0,24.0,25.0,Pass,Low Risk
STU15129,Kiran Raza,67.0,16.0,14.0,29.0,24.0,Pass,Low Risk
STU90304,Luqman Hameed,70.0,13.0,14.0,24.0,17.0,Pass,Medium Risk
STU93918,Zain Mirza,70.0,17.0,18.0,21.0,21.0,Pass,Low Risk
STU63312,Anas Ali,100.0,19.0,20.0,30.0,26.0,Pass,Low Risk
STU92375,Abdullah Tanveer,82.0,17.0,20.0,30.0,30.0,Pass,Low Risk
STU15350,Yasir Ghori,69.0,10.0,16.0,14.0,25.0,Pass,Medium Risk
STU02465,Nida Leghari,62.0,16.0,10.0,14.0,20.0,Pass,Medium Risk
STU65360,Palwasha Malik,91.0,20.0,20.0,26.0,30.0,Pass,Low Risk
STU02069,Talha Khan,54.0,17.0,17.0,27.0,24.0,Pass,Low Risk
STU05265,Nida Baig,93.0,15.0,18.0,27.0,30.0,Pass,Low Risk
STU34248,Sana Orakzai,70.0,11.0,12.0,13.0,11.0,Fail,Medium Risk
STU59947,Javeria Qureshi,100.0,20.0,20.0,27.0,25.0,Pass,Low Risk
STU39108,Saba Baig,98.0,19.0,18.0,26.0,30.0,Pass,Low Risk
STU51121,Usman Ahmed,68.0,15.0,15.0,19.0,17.0,Pass,Medium Risk
STU59593,Uzma Tanveer,85.0,16.0,20.0,23.0,29.0,Pass,Low Risk
STU96402,Kinza Lodhi,91.0,20.0,18.0,30.0,30.0,Pass,Low Risk
STU09254,Moiz Nawaz,72.0,11.0,11.0,22.0,24.0,Pass,Medium Risk
STU19592,Aamir Bhatti,73.0,16.0,17.0,25.0,29.0,Pass,Low Risk
STU53832,Gulnaz Durrani,40.0,7.0,8.0,14.0,18.0,Fail,High Risk
STU35057,Javeria Warraich,77.0,13.0,18.0,16.0,23.0,Pass,Low Risk
STU13843,Rida Yousafzai,59.0,10.0,10.0,21.0,16.0,Pass,Medium Risk
STU73538,Bisma Qazi,78.0,15.0,16.0,22.0,27.0,Pass,Low Risk
STU74190,Zain Lodhi,74.0,14.0,15.0,18.0,23.0,Pass,Low Risk
STU50530,Rashid Butt,69.0,13.0,11.0,24.0,18.0,Pass,Medium Risk
STU28931,Tahira Pervez,79.0,20.0,16.0,30.0,30.0,Pass,Low Risk
STU63707,Faisal Junejo,92.0,20.0,18.0,30.0,30.0,Fail,Low Risk
STU97949,Quratulain Kiani,100.0,18.0,20.0,30.0,30.0,Pass,Low Risk
STU76250,Zeeshan Talpur,67.0,12.0,8.0,12.0,17.0,Fail,Medium Risk
STU95825,Sohail Chandio,42.0,10.0,5.0,16.0,9.0,Pass,High Risk
STU21601,Faisal Pervez,74.0,15.0,13.0,26.0,23.0,Pass,Low Risk
STU41268,Wajeeha Baig,92.0,20.0,20.0,30.0,26.0,Pass,Low Risk
STU39201,Zaid Sheikh,94.0,3.0,2.0,7.0,1.0,Fail,High Risk
STU61058,Hamid Rana,69.0,14.0,18.0,24.0,25.0,Pass,Low Risk
STU03720,Kinza Pervez,79.0,12.0,15.0,30.0,12.0,Pass,Low Risk
STU51887,Qasim Waheed,75.0,10.0,12.0,17.0,16.0,Fail,Medium Risk
STU84669,Rukhsar Qureshi,52.0,10.0,10.0,15.0,13.0,Fail,High Risk
STU76283,Raheel Soomro,86.0,5.0,3.0,9.0,12.0,Pass,High Risk
STU73598,Mishal Warraich,100.0,17.0,14.0,24.0,30.0,Pass,Low Risk
STU43289,Zaid Durrani,65.0,11.0,9.0,18.0,19.0,Pass,Medium Risk
STU26684,Osha Siddiqui,93.0,17.0,17.0,16.0,24.0,Pass,Low Risk
STU98539,Saad Yousafzai,40.0,4.0,6.0,8.0,15.0,Fail,High Risk
STU52221,Saba Qureshi,91.0,20.0,16.0,30.0,29.0,Pass,Low Risk
STU59606,Rida Siddiqui,88.0,19.0,16.0,29.0,20.0,Pass,Low Risk
STU87405,Wajeeha Ghori,40.0,0.0,0.0,3.0,2.0,Fail,High Risk
STU69801,Zainab Baig,80.0,4.0,6.0,22.0,10.0,Fail,Medium Risk
STU49853,Mishal Rashid,70.0,18.0,16.0,25.0,21.0,Pass,Low Risk
STU62877,Sadia Rind,69.0,18.0,17.0,23.0,26.0,Pass,Low Risk
STU70132,Javeria Mirza,75.0,12.0,13.0,26.0,25.0,Pass,Low Risk
STU45068,Jawad Hameed,67.0,11.0,11.0,19.0,16.0,Pass,Medium Risk
STU27031,Farhan Pasha,81.0,18.0,17.0,20.0,30.0,Pass,Low Risk
STU21990,Rukhsar Ghori,87.0,13.0,11.0,24.0,24.0,Pass,Low Risk
STU05480,Adnan Sheikh,68.0,9.0,15.0,19.0,20.0,Pass,Medium Risk
STU21641,Yousuf Sabir,79.0,13.0,14.0,20.0,18.0,Pass,Medium Risk
STU99357,Sehar Leghari,80.0,14.0,16.0,17.0,15.0,Pass,Medium Risk
STU31161,Rashid Soomro,54.0,9.0,7.0,22.0,12.0,Fail,Medium Risk
STU24164,Raheel Durrani,100.0,14.0,15.0,23.0,30.0,Pass,Low Risk
STU-38063,Umair Ghori,68.0,20.0,20.0,29.0,26.0,Pass,Low Risk
STU51408,Bilal Dar,83.0,20.0,16.0,30.0,30.0,Pass,Low Risk
STU64532,Uzma Soomro,70.0,16.0,17.0,26.0,30.0,Pass,Low Risk
STU73537,Hina Soomro,89.0,20.0,20.0,27.0,29.0,Pass,Low Risk
STU38198,Sehar Chandio,80.0,14.0,15.0,26.0,21.0,Pass,Low Risk
STU87789,Farhan Mahmood,72.0,7.0,9.0,12.0,17.0,Fail,Medium Risk
STU67637,Ahmed Karim,71.0,11.0,11.0,16.0,19.0,Fail,Medium Risk
STU93557,Warda Talpur,74.0,13.0,17.0,17.0,19.0,Pass,Medium Risk
STU33128,Basit Hashmi,87.0,20.0,20.0,30.0,26.0,Pass,Low Risk
STU29904,Tahira Siddiqui,77.0,20.0,17.0,25.0,27.0,Pass,Low Risk
STU59076,Haris Baig,68.0,14.0,12.0,19.0,15.0,Pass,Medium Risk
STU14358,Fajar Ahmed,95.0,16.0,20.0,30.0,30.0,Pass,Low Risk
STU14545,Wasi Talpur,83.0,18.0,18.0,22.0,20.0,Pass,Low Risk
STU57078,Mishal Mirza,96.0,15.0,14.0,20.0,29.0,Pass,Low Risk
STU16909,Sohail Tanveer,67.0,16.0,14.0,22.0,21.0,Pass,Low Risk
STU63132,Rabia Mirza,57.0,14.0,16.0,21.0,26.0,Pass,Low Risk
STU54914,Basit Malik,57.0,6.0,8.0,16.0,18.0,Pass,High Risk
STU28193,Adnan Ansari,62.0,10.0,10.0,14.0,10.0,Fail,High Risk
STU15833,Basit Iqbal,65.0,20.0,19.0,22.0,21.0,Pass,Low Risk
STU83511,Mariam Ghori,40.0,9.0,8.0,13.0,11.0,Fail,High Risk
STU75373,Wasi Soomro,72.0,18.0,15.0,27.0,17.0,Pass,Low Risk
STU00846,Rimsha Ghori,40.0,0.0,1.0,4.0,12.0,Fail,High Risk
STU78258,Owais Siddiqui,55.0,11.0,12.0,21.0,24.0,Pass,Medium Risk
STU75779,Ibrahim Bhatti,87.0,20.0,16.0,25.0,25.0,Pass,Low Risk
STU59077,Huma Chandio,68.0,14.0,15.0,25.0,26.0,Pass,Low Risk
STU92934,Saba Javed,72.0,13.0,10.0,13.0,19.0,Pass,Medium Risk
STU76198,Ali Tanveer,75.0,17.0,20.0,24.0,27.0,Pass,Low Risk
STU61658,Bilal Marwat,51.0,18.0,14.0,25.0,22.0,Pass,Low Risk
STU20088,Maria Ghori,87.0,20.0,20.0,27.0,25.0,Pass,Low Risk
STU68084,Naveed Orakzai,81.0,18.0,19.0,30.0,25.0,Pass,Low Risk
STU01255,Owais Leghari,77.0,19.0,19.0,22.0,20.0,Pass,Low Risk
STU87260,Amber Rashid,98.0,18.0,20.0,30.0,30.0,Pass,Low Risk
STU31296,Fajar Gill,66.0,12.0,15.0,12.0,15.0,Pass,Medium Risk
STU53774,Amina Bajwa,79.0,15.0,15.0,18.0,25.0,Pass,Low Risk
STU99386,Areeba Yousafzai,44.0,5.0,7.0,14.0,9.0,Fail,High Risk
STU26681,Nimra Qazi,53.0,12.0,10.0,14.0,18.0,Fail,Medium Risk
STU54251,Osha Niazi,60.0,16.0,16.0,24.0,22.0,Pass,Low Risk
STU57533,Saba Gill,64.0,5.0,11.0,14.0,11.0,Fail,High Risk
STU26339,Umair Mirza,100.0,17.0,20.0,22.0,30.0,Pass,Low Risk
STU86353,Bushra Khan,86.0,15.0,13.0,19.0,25.0,Pass,Low Risk
STU30878,Nasir Baig,94.0,15.0,16.0,21.0,15.0,Pass,Low Risk
STU77329,Amber Effendi,98.0,20.0,17.0,23.0,30.0,Pass,Low Risk
STU79555,Lubna Leghari,55.0,14.0,15.0,24.0,23.0,Pass,Low Risk
STU79052,Umair Junejo,80.0,20.0,20.0,30.0,27.0,Pass,Low Risk
STU07241,Mohsin Karim,75.0,13.0,10.0,25.0,16.0,Pass,Medium Risk
STU96868,Junaid Niazi,75.0,10.0,10.0,17.0,23.0,Pass,Medium Risk
STU44356,Talha Sheikh,78.0,15.0,20.0,28.0,29.0,Pass,Low Risk
STU83670,Mohsin Nawaz,75.0,15.0,9.0,25.0,16.0,Pass,Medium Risk
STU43400,Uzma Rana,82.0,14.0,15.0,20.0,21.0,Pass,Low Risk
STU99936,Usman Pervez,70.0,15.0,15.0,17.0,18.0,Pass,Medium Risk
STU25523,Fatima Siddiqui,66.0,13.0,15.0,23.0,21.0,Pass,Low Risk
STU80092,Junaid Lodhi,76.0,11.0,13.0,20.0,21.0,Pass,Medium Risk
STU15688,Sadia Tanveer,74.0,9.0,12.0,20.0,21.0,Fail,Medium Risk
STU38421,Unknown Student,50.0,8.0,10.0,14.0,15.0,Fail,High Risk
STU87138,Palwasha Cheema,97.0,20.0,20.0,30.0,29.0,Pass,Low Risk
STU05303,Gulnaz Butt,83.0,15.0,15.0,25.0,28.0,Pass,Low Risk
STU94553,Laiba Soomro,75.0,9.0,15.0,25.0,30.0,Pass,Low Risk
STU26715,Zainab Hameed,83.0,20.0,18.0,25.0,30.0,Pass,Low Risk
STU92720,Nimra Sheikh,73.0,17.0,14.0,24.0,27.0,Pass,Low Risk
STU78474,Shoaib Malik,88.0,19.0,20.0,22.0,22.0,Pass,Low Risk
STU48843,Ahmed Jafri,77.0,13.0,15.0,24.0,17.0,Pass,Low Risk
STU65774,Bushra Leghari,61.0,11.0,15.0,15.0,20.0,Pass,Medium Risk
STU23806,Yasir Hameed,48.0,5.0,8.0,16.0,10.0,Fail,High Risk
STU98274,Amina Hashmi,62.0,20.0,16.0,20.0,22.0,Pass,Low Risk
STU73951,Basit Baig,61.0,6.0,4.0,4.0,19.0,Fail,High Risk
STU12965,Areeba Pervez,100.0,16.0,20.0,26.0,29.0,Pass,Low Risk
STU63713,Mohsin Abbasi,45.0,9.0,7.0,17.0,17.0,Fail,High Risk
STU83652,Warda Leghari,75.0,9.0,10.0,24.0,13.0,Fail,Medium Risk
STU87168,Eman Effendi,91.0,19.0,16.0,29.0,26.0,Pass,Low Risk
STU61572,Usman Siddiqui,75.0,11.0,9.0,9.0,9.0,Fail,High Risk
STU07171,Wasi Yousaf,64.0,16.0,15.0,18.0,17.0,Pass,Medium Risk
STU37770,Warda Ghori,68.0,13.0,19.0,20.0,21.0,Pass,Low Risk
STU47101,Naveed Hameed,75.0,20.0,15.0,22.0,22.0,Pass,Low Risk
STU07948,Alishba Cheema,82.0,20.0,14.0,30.0,24.0,Pass,Low Risk
STU09294,Asif Orakzai,100.0,19.0,18.0,30.0,24.0,Pass,Low Risk
STU09866,Rizwan Jafri,75.0,8.0,10.0,18.0,12.0,Fail,Medium Risk
STU68997,Naveed Jafri,86.0,10.0,14.0,20.0,19.0,Pass,Medium Risk
STU59958,Zeeshan Sheikh,79.0,15.0,18.0,21.0,30.0,Pass,Low Risk
STU15149,Anas Chandio,46.0,5.0,4.0,16.0,14.0,Pass,High Risk
STU13475,Noman Khan,62.0,19.0,15.0,26.0,20.0,Pass,Low Risk
STU43498,Rabia Javed,92.0,20.0,15.0,16.0,23.0,Pass,Low Risk
STU57043,Mohsin Rana,49.0,9.0,13.0,15.0,10.0,Fail,High Risk
STU93416,Huma Gill,100.0,20.0,20.0,30.0,30.0,Pass,Low Risk
STU22596,Anum Pasha,63.0,4.0,9.0,19.0,11.0,Fail,High Risk
STU92608,Noman Soomro,58.0,11.0,10.0,18.0,14.0,Pass,Medium Risk
STU20457,Bisma Dar,80.0,16.0,16.0,20.0,23.0,Pass,Low Risk
STU32454,Faisal Malik,100.0,19.0,16.0,27.0,27.0,Pass,Low Risk
STU71870,Rabia Leghari,75.0,17.0,15.0,26.0,18.0,Pass,Low Risk
STU04431,Maria Karim,85.0,16.0,14.0,22.0,19.0,Pass,Low Risk
STU39482,Zain Abbasi,64.0,9.0,10.0,16.0,10.0,Fail,Medium Risk
STU97279,Zain Junejo,76.0,19.0,20.0,30.0,29.0,Pass,Low Risk
STU35817,Hamid Cheema,93.0,17.0,20.0,30.0,22.0,Pass,Low Risk
STU14752,Ehsan Qazi,63.0,13.0,5.0,19.0,14.0,Fail,Medium Risk
STU41333,Bushra Qazi,84.0,16.0,17.0,29.0,26.0,Pass,Low Risk
STU07297,Rabia Rana,48.0,20.0,19.0,30.0,25.0,Pass,Low Risk
STU03470,Bisma Durrani,94.0,16.0,16.0,24.0,26.0,Pass,Low Risk
STU25066,Faisal Pervez,64.0,18.0,18.0,30.0,30.0,Pass,Low Risk
STU68186,Unknown Student,73.0,16.0,16.0,27.0,24.0,Pass,Low Risk
STU17412,Mahnoor Awan,66.0,8.0,10.0,15.0,14.0,Fail,Medium Risk
STU78243,Ghulam Siddiqui,78.0,17.0,11.0,20.0,21.0,Pass,Low Risk
STU23724,Unknown Student,71.0,15.0,16.0,26.0,22.0,Pass,Low Risk
STU62068,Unknown Student,75.0,9.0,12.0,11.0,14.0,Fail,Medium Risk
STU76797,Fatima Ahmed,80.0,11.0,14.0,16.0,18.0,Pass,Medium Risk
STU23926,Kiran Siddiqui,82.0,15.0,20.0,25.0,23.0,Pass,Low Risk
STU25267,Zaid Yousafzai,71.0,15.0,12.0,28.0,20.0,Pass,Low Risk
STU26772,Haris Farooq,99.0,19.0,18.0,24.0,23.0,Pass,Low Risk
STU82682,Hamza Bhatti,76.0,16.0,15.0,30.0,30.0,Pass,Low Risk
STU61212,Unknown Student,64.0,12.0,14.0,16.0,21.0,Fail,Medium Risk
STU39862,Umair Warraich,71.0,14.0,11.0,22.0,20.0,Pass,Medium Risk
STU78784,Bisma Khan,77.0,12.0,12.0,21.0,20.0,Pass,Medium Risk
STU33258,Junaid Butt,58.0,10.0,9.0,9.0,9.0,Fail,High Risk
STU39984,Fawad Hussain,95.0,14.0,20.0,18.0,26.0,Pass,Low Risk
STU96731,Yousuf Gill,72.0,13.0,12.0,22.0,22.0,Pass,Medium Risk
STU54035,Zubair Karim,88.0,20.0,20.0,30.0,28.0,Pass,Low Risk
STU94129,Yousuf Junejo,84.0,16.0,14.0,19.0,29.0,Pass,Low Risk
STU20947,Rizwan Waheed,59.0,10.0,9.0,21.0,16.0,Pass,Medium Risk
STU11870,Uzma Effendi,73.0,20.0,17.0,30.0,26.0,Pass,Low Risk
STU32464,Fatima Abbasi,75.0,11.0,19.0,25.0,27.0,Fail,Low Risk
STU01168,Sohail Sheikh,95.0,20.0,20.0,22.0,30.0,Pass,Low Risk
STU53950,Zainab Qureshi,68.0,10.0,16.0,19.0,18.0,Fail,Medium Risk
STU37134,Mahnoor Bajwa,72.0,16.0,17.0,18.0,25.0,Pass,Low Risk
STU33290,Zainab Raza,67.0,20.0,12.0,22.0,23.0,Pass,Low Risk
STU45720,Ayesha Hussain,90.0,20.0,20.0,28.0,24.0,Pass,Low Risk
STU81658,Zeeshan Khan,70.0,14.0,13.0,20.0,25.0,Pass,Low Risk
STU99118,Owais Ali,100.0,14.0,19.0,29.0,28.0,Pass,Low Risk
STU05481,Komal Warraich,100.0,19.0,13.0,25.0,22.0,Pass,Low Risk
STU03570,Eman Soomro,49.0,5.0,8.0,13.0,15.0,Fail,High Risk
STU84985,Komal Soomro,72.0,14.0,15.0,27.0,20.0,Pass,Low Risk
STU73909,Javeria Durrani,78.0,15.0,18.0,24.0,28.0,Pass,Low Risk
STU56333,Khadija Talpur,72.0,15.0,18.0,20.0,24.0,Pass,Low Risk
STU87245,Kamran Malik,95.0,19.0,20.0,27.0,30.0,Pass,Low Risk
STU24184,Aamir Ahmed,75.0,20.0,20.0,30.0,30.0,Pass,Low Risk
STU_73018,Farah Bhatti,81.0,15.0,20.0,30.0,30.0,Pass,Low Risk
STU41798,Hira Sheikh,100.0,20.0,19.0,30.0,30.0,Pass,Low Risk
STU30425,Zaid Leghari,100.0,20.0,19.0,30.0,27.0,Pass,Low Risk
STU09387,Rukhsar Soomro,100.0,20.0,20.0,27.0,30.0,Pass,Low Risk
STU_62351,Zubair Cheema,89.0,19.0,18.0,19.0,20.0,Pass,Low Risk
STU03810,Rashid Junejo,66.0,13.0,12.0,21.0,11.0,Fail,Medium Risk
STU28875,Huma Warraich,77.0,15.0,17.0,21.0,21.0,Pass,Low Risk
STU34841,Nasir Awan,40.0,8.0,14.0,12.0,17.0,Fail,High Risk
STU61547,Mohsin Effendi,75.0,11.0,12.0,16.0,13.0,Fail,Medium Risk
STU96851,Zoya Gill,73.0,13.0,12.0,22.0,17.0,Pass,Medium Risk
STU11038,Amber Pasha,72.0,19.0,12.0,18.0,22.0,Pass,Low Risk
STU86213,Kiran Kiani,64.0,18.0,11.0,16.0,15.0,Pass,Medium Risk
STU24962,Khadija Ghori,76.0,13.0,14.0,22.0,26.0,Pass,Low Risk
STU53075,Iqra Siddiqui,91.0,20.0,16.0,30.0,29.0,Pass,Low Risk
STU65233,Kiran Ansari,46.0,8.0,6.0,9.0,20.0,Fail,High Risk
STU52272,Laiba Pervez,82.0,15.0,10.0,20.0,24.0,Pass,Low Risk
STU86493,Raheel Khan,90.0,20.0,16.0,24.0,30.0,Pass,Low Risk
STU53385,Waqar Rashid,100.0,20.0,18.0,30.0,28.0,Pass,Low Risk
STU95362,Sohail Pervez,54.0,12.0,13.0,19.0,21.0,Pass,Medium Risk
STU80667,Ghulam Karim,99.0,20.0,20.0,26.0,30.0,Pass,Low Risk
STU38940,Zainab Malik,69.0,14.0,13.0,22.0,17.0,Pass,Medium Risk
STU92535,Aamir Dar,69.0,13.0,12.0,17.0,13.0,Pass,Medium Risk
STU62226,Palwasha Rashid,42.0,3.0,5.0,6.0,9.0,Fail,High Risk
STU56946,Salman Ahmed,71.0,18.0,19.0,19.0,26.0,Pass,Low Risk
STU68097,Javeria Hussain,87.0,17.0,20.0,22.0,30.0,Pass,Low Risk
STU64166,Unknown Student,89.0,2.0,4.0,8.0,11.0,Fail,High Risk
STU65695,Noman Bhatti,88.0,17.0,17.0,22.0,30.0,Pass,Low Risk
STU06423,Mahnoor Chandio,86.0,18.0,20.0,25.0,26.0,Pass,Low Risk
STU00226,Shahzad Saeed,89.0,3.0,5.0,10.0,12.0,Pass,High Risk
STU46020,Yousuf Orakzai,77.0,14.0,11.0,18.0,22.0,Pass,Medium Risk
STU56530,Shoaib Lodhi,47.0,16.0,14.0,22.0,19.0,Fail,Medium Risk
STU29751,Yasir Talpur,84.0,15.0,18.0,29.0,25.0,Pass,Low Risk
STU76665,Farhan Niazi,92.0,20.0,15.0,30.0,30.0,Pass,Low Risk
STU92822,Areeba Qureshi,100.0,16.0,20.0,28.0,30.0,Pass,Low Risk
STU12955,Wajeeha Baig,95.0,20.0,19.0,30.0,29.0,Pass,Low Risk
STU89337,Lubna Gill,95.0,19.0,18.0,30.0,24.0,Pass,Low Risk
STU92701,Farah Karim,58.0,16.0,16.0,20.0,18.0,Pass,Medium Risk
STU11373,Yumna Pervez,87.0,20.0,19.0,30.0,20.0,Pass,Low Risk
STU15099,Zain Saeed,65.0,15.0,13.0,21.0,19.0,Pass,Medium Risk
STU07660,Moiz Durrani,100.0,20.0,20.0,30.0,30.0,Pass,Low Risk
STU90887,Haris Orakzai,61.0,14.0,15.0,18.0,20.0,Pass,Medium Risk
STU27750,Sara Abbasi,67.0,15.0,18.0,27.0,25.0,Pass,Low Risk
STU45460,Zainab Hameed,68.0,18.0,20.0,27.0,30.0,Pass,Low Risk
STU04804,Shoaib Qureshi,83.0,19.0,20.0,30.0,22.0,Pass,Low Risk
STU00957,Javeria Chaudhry,71.0,9.0,13.0,20.0,12.0,Fail,Medium Risk
STU01440,Saad Lodhi,88.0,14.0,14.0,17.0,24.0,Pass,Low Risk
STU22074,Zainab Bajwa,68.0,14.0,18.0,23.0,23.0,Pass,Low Risk
STU36526,Sohail Malik,70.0,18.0,14.0,23.0,24.0,Pass,Low Risk
STU36018,Zainab Ansari,87.0,15.0,19.0,23.0,30.0,Pass,Low Risk
STU65998,Tahira Qureshi,66.0,13.0,16.0,24.0,23.0,Pass,Low Risk
STU45536,Raheel Kiani,66.0,19.0,19.0,27.0,27.0,Pass,Low Risk
STU71195,Haris Baig,66.0,6.0,12.0,20.0,22.0,Pass,Medium Risk
STU50675,Mishal Khan,49.0,19.0,17.0,28.0,23.0,Pass,Low Risk
STU75271,Naveed Butt,65.0,15.0,19.0,30.0,30.0,Pass,Low Risk
STU34604,Komal Niazi,73.0,12.0,18.0,26.0,25.0,Pass,Low Risk
STU66519,Hina Siddiqui,70.0,15.0,15.0,30.0,24.0,Pass,Low Risk
STU16112,Asif Ahmed,80.0,17.0,20.0,20.0,24.0,Pass,Low Risk
STU22021,Hamid Siddiqui,62.0,13.0,9.0,13.0,18.0,Pass,Medium Risk
STU15836,Rukhsar Khan,83.0,17.0,16.0,24.0,20.0,Pass,Low Risk
